epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3811.1,0.13777,1.17995,0.91695,0.52021,0.66785,0.60338,0.6033,0.03022,0.82788,1.04152,0.006535,0.006535,0.006535
44,3904.53,0.138,1.17938,0.91774,0.52236,0.66718,0.60386,0.60375,0.03008,0.82871,1.04151,0.0064525,0.0064525,0.0064525
45,3997.97,0.13614,1.17248,0.91696,0.52045,0.66968,0.60526,0.60517,0.02988,0.8251,1.04149,0.00637,0.00637,0.00637
46,4091.61,0.13548,1.17557,0.91745,0.51558,0.67237,0.60643,0.60631,0.03007,0.81966,1.04147,0.0062875,0.0062875,0.0062875
47,4185.85,0.13504,1.1745,0.91659,0.51833,0.67323,0.6062,0.60608,0.0298,0.82185,1.04145,0.006205,0.006205,0.006205
48,4279.33,0.13498,1.17126,0.91704,0.52773,0.66901,0.60765,0.6075,0.02959,0.8163,1.04143,0.0061225,0.0061225,0.0061225
49,4376.66,0.13285,1.17226,0.9168,0.53311,0.66887,0.6089,0.60881,0.02965,0.8147,1.04142,0.00604,0.00604,0.00604
50,4475.81,inf,1.17214,0.91715,0.52353,0.67355,0.61063,0.61054,0.02948,0.81434,1.04141,0.0059575,0.0059575,0.0059575
51,4574.57,0.13161,1.16412,0.91595,0.52532,0.67319,0.61149,0.61141,0.02894,0.81341,1.04139,0.005875,0.005875,0.005875
52,4674.09,0.13076,1.16516,0.91598,0.5321,0.66795,0.6129,0.61282,0.02869,0.81339,1.04138,0.0057925,0.0057925,0.0057925
53,4772.61,0.12951,1.16636,0.91639,0.53332,0.67348,0.6137,0.61361,0.0288,0.81324,1.04139,0.00571,0.00571,0.00571
54,4870.98,0.12996,1.16458,0.91625,0.53147,0.67418,0.61506,0.61496,0.02861,0.81078,1.04139,0.0056275,0.0056275,0.0056275
55,4969.29,0.12953,1.16505,0.91626,0.52689,0.67676,0.61658,0.61649,0.02891,0.80669,1.0414,0.005545,0.005545,0.005545
56,5067.78,inf,1.16056,0.91561,0.52524,0.67883,0.61786,0.6178,0.02932,0.80338,1.04141,0.0054625,0.0054625,0.0054625
57,5166.1,0.12686,1.15981,0.91614,0.5243,0.68009,0.61885,0.61881,0.02921,0.80334,1.04142,0.00538,0.00538,0.00538
58,5264.55,0.1263,1.15865,0.91616,0.52615,0.68332,0.62047,0.62041,0.02913,0.80196,1.04143,0.0052975,0.0052975,0.0052975
59,5363.07,0.12578,1.15881,0.91552,0.52578,0.68389,0.62154,0.62146,0.02955,0.80007,1.04148,0.005215,0.005215,0.005215
60,5461.03,0.12524,1.16024,0.91574,0.51957,0.69068,0.62249,0.62239,0.02967,0.79969,1.04151,0.0051325,0.0051325,0.0051325
61,5559.51,0.12436,1.1561,0.91509,0.52557,0.69065,0.62422,0.62411,0.03041,0.79967,1.04152,0.00505,0.00505,0.00505
62,5657.88,0.12358,1.15801,0.91552,0.52901,0.69501,0.62561,0.62547,0.03108,0.7983,1.04155,0.0049675,0.0049675,0.0049675
63,5756.38,0.12337,1.15757,0.91557,0.53225,0.69463,0.62676,0.62666,0.03219,0.79742,1.04156,0.004885,0.004885,0.004885
64,5860.19,0.12272,1.15287,0.91543,0.52649,0.7044,0.62801,0.62793,0.03236,0.79504,1.04153,0.0048025,0.0048025,0.0048025
65,5958.89,0.12113,1.15018,0.91511,0.52606,0.70134,0.62881,0.62871,0.03288,0.79422,1.04154,0.00472,0.00472,0.00472
66,6057.24,0.12079,1.148,0.9145,0.53329,0.69762,0.63003,0.62993,0.03321,0.7935,1.04154,0.0046375,0.0046375,0.0046375
67,6155.26,0.12037,1.14827,0.9149,0.54009,0.69465,0.63077,0.63067,0.0338,0.7918,1.04157,0.004555,0.004555,0.004555
68,6253.31,0.11875,1.15011,0.91515,0.54397,0.68702,0.63204,0.63194,0.03355,0.79,1.04156,0.0044725,0.0044725,0.0044725
69,6351.04,0.11818,1.14709,0.91499,0.54714,0.69061,0.63332,0.63322,0.03446,0.78942,1.04162,0.00439,0.00439,0.00439
